"Id","MSZoning","LotArea","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","MasVnrType","MasVnrArea","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","TotalBsmtSF","HeatingQC","Electrical","2ndFlrSF","GrLivArea","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageQual","GarageCond","PavedDrive","PoolQC","SaleCondition","SalePrice","stFlrSF","Baths"
11,"RL",11200,"Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","5","5",1965,1965,"Hip","CompShg","None",0,"TA","TA","No","Rec",906,"Unf",1040,"Ex","SBrkr",0,1040,"TA",5,"Typ",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Normal",129500,1040,2
12,"RL",11924,"Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story","9","5",2005,2006,"Hip","CompShg","Stone",286,"Ex","TA","No","GLQ",998,"Unf",1175,"Ex","SBrkr",1142,2324,"Ex",11,"Typ",2,"Gd","BuiltIn","Fin",3,"TA","TA","Y","None","Partial",345000,1182,4
13,"RL",12968,"Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","5","6",1962,1962,"Hip","CompShg","None",0,"TA","TA","No","ALQ",737,"Unf",912,"TA","SBrkr",0,912,"TA",4,"Typ",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Normal",144000,912,2
14,"RL",10652,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","7","5",2006,2007,"Gable","CompShg","Stone",306,"Gd","TA","Av","Unf",0,"Unf",1494,"Ex","SBrkr",0,1494,"Gd",7,"Typ",1,"Gd","Attchd","RFn",3,"TA","TA","Y","None","Partial",279500,1494,2
15,"RL",10920,"Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","5",1960,1960,"Hip","CompShg","BrkFace",212,"TA","TA","No","BLQ",733,"Unf",1253,"TA","SBrkr",0,1253,"TA",5,"Typ",1,"Fa","Attchd","RFn",1,"TA","TA","Y","None","Normal",157000,1253,2.5
16,"RM",6120,"Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf","7","8",1929,2001,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",832,"Ex","FuseA",0,854,"TA",5,"Typ",0,"None","Detchd","Unf",2,"TA","TA","Y","None","Normal",132000,854,1
17,"RL",11241,"CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","7",1970,1970,"Gable","CompShg","BrkFace",180,"TA","TA","No","ALQ",578,"Unf",1004,"Ex","SBrkr",0,1004,"TA",5,"Typ",1,"TA","Attchd","Fin",2,"TA","TA","Y","None","Normal",149000,1004,2
18,"RL",10791,"Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story","4","5",1967,1967,"Gable","CompShg","None",0,"None","None","None","None",0,"None",0,"TA","SBrkr",0,1296,"TA",6,"Typ",0,"None","CarPort","Unf",2,"TA","TA","Y","None","Normal",90000,1296,2
19,"RL",13695,"Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story","5","5",2004,2004,"Gable","CompShg","None",0,"TA","TA","No","GLQ",646,"Unf",1114,"Ex","SBrkr",0,1114,"Gd",6,"Typ",0,"None","Detchd","Unf",2,"TA","TA","Y","None","Normal",159000,1114,2.5
20,"RL",7560,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","6",1958,1965,"Hip","CompShg","None",0,"TA","TA","No","LwQ",504,"Unf",1029,"TA","SBrkr",0,1339,"TA",6,"Min1",0,"None","Attchd","Unf",1,"TA","TA","Y","None","Abnorml",139000,1339,1
21,"RL",14215,"Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story","8","5",2005,2006,"Gable","CompShg","BrkFace",380,"Ex","TA","Av","Unf",0,"Unf",1158,"Ex","SBrkr",1218,2376,"Gd",9,"Typ",1,"Gd","BuiltIn","RFn",3,"TA","TA","Y","None","Partial",325300,1158,3.5
22,"RM",7449,"Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf","7","7",1930,1950,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",637,"Ex","FuseF",0,1108,"Gd",6,"Typ",1,"Gd","Attchd","Unf",1,"TA","TA","N","None","Normal",139400,1108,1
23,"RL",9742,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","8","5",2002,2002,"Hip","CompShg","BrkFace",281,"Gd","TA","No","Unf",0,"Unf",1777,"Ex","SBrkr",0,1795,"Gd",7,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA","Y","None","Normal",230000,1795,2
24,"RM",4224,"Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story","5","7",1976,1976,"Gable","CompShg","None",0,"Gd","TA","No","GLQ",840,"Unf",1040,"TA","SBrkr",0,1060,"TA",6,"Typ",1,"TA","Attchd","Unf",2,"TA","TA","Y","None","Normal",129900,1060,2
25,"RL",8246,"Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","5","8",1968,2001,"Gable","CompShg","None",0,"TA","TA","Mn","Rec",188,"ALQ",1060,"Ex","SBrkr",0,1060,"Gd",6,"Typ",1,"TA","Attchd","Unf",1,"TA","TA","Y","None","Normal",154000,1060,2
26,"RL",14230,"Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story","8","5",2007,2007,"Gable","CompShg","Stone",640,"Gd","TA","No","Unf",0,"Unf",1566,"Ex","SBrkr",0,1600,"Gd",7,"Typ",1,"Gd","Attchd","RFn",3,"TA","TA","Y","None","Normal",256300,1600,2
27,"RL",7200,"Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","7",1951,2000,"Gable","CompShg","None",0,"TA","TA","Mn","BLQ",234,"Rec",900,"TA","SBrkr",0,900,"Gd",5,"Typ",0,"None","Detchd","Unf",2,"TA","TA","Y","None","Normal",134800,900,1.5
28,"RL",11478,"Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story","8","5",2007,2008,"Gable","CompShg","Stone",200,"Ex","TA","No","GLQ",1218,"Unf",1704,"Ex","SBrkr",0,1704,"Gd",7,"Typ",1,"Gd","Attchd","RFn",3,"TA","TA","Y","None","Normal",306000,1704,3
29,"RL",16321,"CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","6",1957,1997,"Gable","CompShg","None",0,"TA","TA","Gd","BLQ",1277,"Unf",1484,"TA","SBrkr",0,1600,"TA",6,"Typ",2,"Gd","Attchd","RFn",1,"TA","TA","Y","None","Normal",207500,1600,2
30,"RM",6324,"Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story","4","6",1927,1950,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",520,"Fa","SBrkr",0,520,"Fa",4,"Typ",0,"None","Detchd","Unf",1,"Fa","TA","Y","None","Normal",68500,520,1
31,"C (all)",8500,"Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story","4","4",1920,1950,"Gambrel","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",649,"TA","SBrkr",668,1317,"TA",6,"Typ",0,"None","Detchd","Unf",1,"TA","Fa","N","None","Normal",40000,649,1
32,"RL",8544,"CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story","5","6",1966,2006,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",1228,"Gd","SBrkr",0,1228,"Gd",6,"Typ",0,"None","Attchd","Unf",1,"TA","TA","Y","None","Normal",149350,1228,1.5
33,"RL",11049,"Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story","8","5",2007,2007,"Gable","CompShg","None",0,"Ex","TA","Av","Unf",0,"Unf",1234,"Ex","SBrkr",0,1234,"Gd",7,"Typ",0,"None","Attchd","RFn",2,"TA","TA","Y","None","Normal",179900,1234,2
34,"RL",10552,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","5",1959,1959,"Hip","CompShg","None",0,"TA","TA","No","Rec",1018,"Unf",1398,"Gd","SBrkr",0,1700,"Gd",6,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA","Y","None","Normal",165500,1700,2
35,"RL",7313,"Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story","9","5",2005,2005,"Hip","CompShg","BrkFace",246,"Ex","TA","No","GLQ",1153,"Unf",1561,"Ex","SBrkr",0,1561,"Ex",6,"Typ",1,"Gd","Attchd","Fin",2,"TA","TA","Y","None","Normal",277500,1561,3
36,"RL",13418,"Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story","8","5",2004,2005,"Gable","CompShg","Stone",132,"Ex","TA","Av","Unf",0,"Unf",1117,"Ex","SBrkr",1320,2452,"Gd",9,"Typ",1,"Gd","BuiltIn","Fin",3,"TA","TA","Y","None","Normal",309000,1132,3.5
37,"RL",10859,"Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story","5","5",1994,1995,"Gable","CompShg","None",0,"Gd","TA","No","Unf",0,"Unf",1097,"Ex","SBrkr",0,1097,"TA",6,"Typ",0,"None","Attchd","Unf",2,"TA","TA","Y","None","Normal",145000,1097,1.5
38,"RL",8532,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","6",1954,1990,"Hip","CompShg","BrkFace",650,"TA","TA","No","Rec",1213,"Unf",1297,"Gd","SBrkr",0,1297,"TA",5,"Typ",1,"TA","Attchd","Fin",2,"TA","TA","Y","None","Normal",153000,1297,1.5
39,"RL",7922,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","7",1953,2007,"Gable","CompShg","None",0,"TA","TA","No","GLQ",731,"Unf",1057,"TA","SBrkr",0,1057,"Gd",5,"Typ",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Abnorml",109000,1057,2
40,"RL",6040,"Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story","4","5",1955,1955,"Gable","CompShg","None",0,"None","None","None","None",0,"None",0,"TA","FuseP",0,1152,"Fa",6,"Typ",0,"None","None","None",0,"None","None","N","None","AdjLand",82000,1152,2
41,"RL",8658,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","5",1965,1965,"Gable","CompShg","BrkFace",101,"TA","TA","No","Rec",643,"Unf",1088,"Ex","SBrkr",0,1324,"TA",6,"Typ",1,"TA","Attchd","RFn",2,"TA","TA","Y","None","Abnorml",160000,1324,2
42,"RL",16905,"Inside","Gtl","Timber","Norm","Norm","1Fam","1Story","5","6",1959,1959,"Gable","CompShg","None",0,"TA","TA","Gd","BLQ",967,"Unf",1350,"Gd","SBrkr",0,1328,"TA",5,"Typ",2,"Gd","Attchd","RFn",1,"TA","TA","P","None","Normal",170000,1328,2
43,"RL",9180,"CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer","5","7",1983,1983,"Gable","CompShg","None",0,"Gd","TA","Av","ALQ",747,"LwQ",840,"Gd","SBrkr",0,884,"Gd",5,"Typ",0,"None","Attchd","RFn",2,"TA","Gd","Y","None","Normal",144000,884,2
44,"RL",9200,"CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","1Story","5","6",1975,1980,"Hip","CompShg","None",0,"Gd","TA","Av","LwQ",280,"BLQ",938,"TA","SBrkr",0,938,"TA",5,"Typ",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Normal",130250,938,2
45,"RL",7945,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","6",1959,1959,"Gable","CompShg","None",0,"TA","TA","No","ALQ",179,"BLQ",1150,"Ex","FuseA",0,1150,"TA",6,"Typ",0,"None","Attchd","RFn",1,"TA","TA","Y","None","Normal",141000,1150,2
46,"RL",7658,"Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story","9","5",2005,2005,"Hip","CompShg","BrkFace",412,"Ex","TA","No","GLQ",456,"Unf",1752,"Ex","SBrkr",0,1752,"Ex",6,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA","Y","None","Normal",319900,1752,3
47,"RL",12822,"CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin","7","5",2003,2003,"Gable","CompShg","None",0,"Ex","TA","No","GLQ",1351,"Unf",1434,"Ex","SBrkr",631,2149,"Gd",6,"Typ",1,"Ex","Attchd","RFn",2,"TA","TA","Y","None","Abnorml",239686,1518,2.5
48,"FV",11096,"Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5",2006,2006,"Gable","CompShg","None",0,"Gd","TA","Av","GLQ",24,"Unf",1656,"Ex","SBrkr",0,1656,"Gd",7,"Typ",0,"None","Attchd","RFn",3,"TA","TA","Y","None","Normal",249700,1656,2
49,"RM",4456,"Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story","4","5",1920,2008,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",736,"Gd","SBrkr",716,1452,"TA",8,"Typ",0,"None","None","None",0,"None","None","N","None","Partial",113000,736,2
50,"RL",7742,"Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","5","7",1966,1966,"Gable","CompShg","None",0,"TA","TA","No","BLQ",763,"Unf",955,"Ex","SBrkr",0,955,"TA",6,"Typ",0,"None","Attchd","Unf",1,"TA","TA","Y","None","Normal",127000,955,2
51,"RL",13869,"Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story","6","6",1997,1997,"Gable","CompShg","None",0,"Gd","TA","Av","GLQ",182,"Unf",794,"Gd","SBrkr",676,1470,"TA",6,"Typ",0,"None","Attchd","Fin",2,"TA","TA","Y","None","Normal",177000,794,2.5
52,"RM",6240,"Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin","6","6",1934,1950,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",816,"TA","SBrkr",0,1176,"TA",6,"Typ",1,"Gd","Detchd","Unf",2,"TA","TA","Y","None","Normal",114500,816,1
53,"RM",8472,"Corner","Mod","IDOTRR","RRNn","Norm","Duplex","1Story","5","5",1963,1963,"Gable","CompShg","None",0,"Gd","TA","Gd","LwQ",104,"GLQ",816,"TA","SBrkr",0,816,"TA",5,"Typ",0,"None","CarPort","Unf",2,"TA","TA","Y","None","Normal",110000,816,2
54,"RL",50271,"Inside","Gtl","Veenker","Norm","Norm","1Fam","1Story","9","5",1981,1987,"Gable","WdShngl","None",0,"Ex","TA","Gd","GLQ",1810,"Unf",1842,"Gd","SBrkr",0,1842,"Gd",5,"Typ",1,"Gd","Attchd","Fin",3,"TA","TA","Y","None","Normal",385000,1842,2.5
55,"RL",7134,"Inside","Mod","NAmes","Norm","Norm","1Fam","SLvl","5","5",1955,1955,"Gable","CompShg","None",0,"TA","TA","No","ALQ",384,"Unf",384,"TA","SBrkr",0,1360,"TA",6,"Min1",1,"TA","Detchd","Unf",2,"TA","TA","Y","None","Normal",130000,1360,1
56,"RL",10175,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","5",1964,1964,"Gable","CompShg","BrkFace",272,"TA","TA","No","BLQ",490,"Unf",1425,"Gd","SBrkr",0,1425,"TA",7,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA","Y","None","Normal",180500,1425,2
57,"FV",2645,"Inside","Gtl","Somerst","Norm","Norm","Twnhs","2Story","8","5",1999,2000,"Gable","CompShg","BrkFace",456,"Gd","TA","No","GLQ",649,"Unf",970,"Ex","SBrkr",756,1739,"Gd",7,"Typ",0,"None","Attchd","Fin",2,"TA","TA","Y","None","Abnorml",172500,983,3.5
58,"RL",11645,"Corner","Gtl","CollgCr","Norm","Norm","1Fam","2Story","7","5",2004,2004,"Gable","CompShg","None",0,"Gd","TA","No","Unf",0,"Unf",860,"Ex","SBrkr",860,1720,"Gd",7,"Typ",0,"None","Attchd","RFn",2,"TA","TA","Y","None","Normal",196500,860,2.5
59,"RL",13682,"CulDSac","Gtl","StoneBr","Norm","Norm","1Fam","2Story","10","5",2006,2006,"Hip","CompShg","BrkFace",1031,"Ex","TA","Gd","Unf",0,"Unf",1410,"Ex","SBrkr",1519,2945,"Gd",10,"Typ",1,"Gd","BuiltIn","Fin",3,"TA","TA","Y","None","Partial",438780,1426,3.5
60,"RL",7200,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","5","7",1972,1972,"Gable","CompShg","None",0,"TA","TA","Av","ALQ",632,"Unf",780,"Ex","SBrkr",0,780,"TA",4,"Typ",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Normal",124900,780,1
61,"RL",13072,"Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story","6","5",2004,2004,"Gable","CompShg","None",0,"Gd","TA","No","ALQ",941,"Unf",1158,"Ex","SBrkr",0,1158,"Gd",5,"Typ",0,"None","Detchd","Unf",2,"TA","TA","Y","None","Partial",158000,1158,2.5
62,"RM",7200,"Inside","Gtl","IDOTRR","Norm","Norm","1Fam","2.5Unf","5","7",1920,1996,"Gable","CompShg","None",0,"TA","Fa","No","Unf",0,"Unf",530,"TA","SBrkr",530,1111,"Fa",6,"Typ",0,"None","Detchd","Unf",1,"TA","TA","N","None","Normal",101000,581,1
63,"RL",6442,"Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story","8","5",2006,2006,"Gable","CompShg","Stone",178,"Gd","Gd","Mn","GLQ",24,"Unf",1370,"Ex","SBrkr",0,1370,"Gd",6,"Typ",1,"Gd","Attchd","RFn",2,"TA","TA","Y","None","Normal",202500,1370,2
64,"RM",10300,"Inside","Gtl","OldTown","RRAn","Feedr","1Fam","2Story","7","6",1921,1950,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",576,"Gd","SBrkr",808,1710,"TA",9,"Typ",0,"None","Detchd","Unf",2,"TA","TA","Y","None","Normal",140000,902,2
65,"RL",9375,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","7","5",1997,1998,"Gable","CompShg","BrkFace",573,"Gd","TA","No","GLQ",739,"Unf",1057,"Ex","SBrkr",977,2034,"Gd",8,"Typ",0,"None","Attchd","RFn",2,"TA","TA","Y","None","Normal",219500,1057,3.5
66,"RL",9591,"Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story","8","5",2004,2005,"Gable","CompShg","BrkFace",344,"Ex","TA","Av","Unf",0,"Unf",1143,"Ex","SBrkr",1330,2473,"Gd",9,"Typ",1,"Gd","BuiltIn","RFn",3,"TA","TA","Y","None","Normal",317000,1143,2.5
67,"RL",19900,"Inside","Gtl","NAmes","PosA","Norm","1Fam","1Story","7","5",1970,1989,"Gable","CompShg","BrkFace",287,"Gd","TA","Gd","GLQ",912,"Unf",1947,"TA","SBrkr",0,2207,"TA",7,"Min1",1,"Gd","Attchd","RFn",2,"TA","TA","Y","None","Normal",180000,2207,3
68,"RL",10665,"Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","7","5",2003,2003,"Gable","CompShg","BrkFace",167,"Gd","TA","Av","GLQ",1013,"Unf",1453,"Ex","SBrkr",0,1479,"Gd",7,"Typ",0,"None","Attchd","RFn",2,"TA","TA","Y","None","Normal",226000,1479,3
69,"RM",4608,"Corner","Gtl","OldTown","Artery","Norm","1Fam","1Story","4","6",1945,1950,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",747,"TA","SBrkr",0,747,"TA",4,"Typ",0,"None","Attchd","Unf",1,"TA","TA","Y","None","Normal",80000,747,1
70,"RL",15593,"Corner","Gtl","ClearCr","Norm","Norm","1Fam","1.5Fin","7","4",1953,1953,"Gable","CompShg","None",0,"TA","TA","No","BLQ",603,"Unf",1304,"TA","SBrkr",983,2287,"TA",7,"Typ",1,"TA","Attchd","Fin",2,"TA","TA","Y","None","Normal",225000,1304,2
71,"RL",13651,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","7","6",1973,1973,"Gable","CompShg","BrkFace",1115,"Gd","TA","Gd","ALQ",1880,"Unf",2223,"Ex","SBrkr",0,2223,"TA",8,"Typ",2,"Gd","Attchd","Fin",2,"TA","TA","Y","None","Normal",244000,2223,3
72,"RL",7599,"Corner","Gtl","Mitchel","Norm","Norm","1Fam","1Story","4","6",1982,2006,"Gable","CompShg","None",0,"TA","TA","No","ALQ",565,"Unf",845,"TA","SBrkr",0,845,"TA",4,"Typ",0,"None","Detchd","Unf",2,"TA","TA","Y","None","Normal",129500,845,2
73,"RL",10141,"Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story","7","5",1998,1998,"Gable","CompShg","BrkFace",40,"Gd","TA","No","Unf",0,"Unf",832,"Gd","SBrkr",833,1718,"TA",7,"Typ",1,"TA","Attchd","Fin",2,"TA","TA","Y","None","Normal",185000,885,2.5
74,"RL",10200,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","7",1954,2003,"Gable","CompShg","BrkFace",104,"TA","TA","No","ALQ",320,"BLQ",1086,"Gd","SBrkr",0,1086,"TA",6,"Typ",0,"None","Attchd","Unf",2,"TA","TA","Y","None","Normal",144900,1086,2
75,"RM",5790,"Corner","Gtl","OldTown","Norm","Norm","1Fam","2Story","3","6",1915,1950,"Gambrel","CompShg","None",0,"Fa","TA","No","Unf",0,"Unf",840,"Gd","SBrkr",765,1605,"TA",8,"Typ",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Normal",107400,840,2
76,"RM",1596,"Inside","Gtl","MeadowV","Norm","Norm","Twnhs","SLvl","4","5",1973,1973,"Gable","CompShg","None",0,"Gd","TA","Gd","GLQ",462,"Unf",462,"TA","SBrkr",462,988,"TA",5,"Typ",0,"None","BuiltIn","Unf",1,"TA","TA","Y","None","Normal",91000,526,2
77,"RL",8475,"Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","4","7",1956,1956,"Gable","CompShg","None",0,"TA","TA","No","ALQ",228,"Unf",952,"Ex","FuseA",0,952,"TA",4,"Typ",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Normal",135750,952,1
78,"RM",8635,"Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin","5","5",1948,2001,"Gable","CompShg","None",0,"TA","TA","No","BLQ",336,"GLQ",672,"TA","SBrkr",213,1285,"TA",6,"Min1",0,"None","Detchd","Unf",1,"TA","TA","Y","None","Normal",127000,1072,2
79,"RL",10778,"Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story","4","5",1968,1968,"Hip","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",1768,"TA","SBrkr",0,1768,"TA",8,"Typ",0,"None","None","None",0,"None","None","Y","None","Normal",136500,1768,2
80,"RM",10440,"Corner","Gtl","OldTown","Norm","Norm","1Fam","2Story","5","6",1910,1981,"Gable","CompShg","None",0,"TA","TA","No","Unf",0,"Unf",440,"Gd","SBrkr",548,1230,"TA",5,"Typ",0,"None","Detchd","Unf",2,"TA","TA","Y","None","Normal",110000,682,1.5
81,"RL",13000,"Corner","Gtl","NAmes","Norm","Norm","1Fam","2Story","6","6",1968,1968,"Gable","CompShg","BrkFace",576,"Gd","TA","No","Rec",448,"Unf",896,"TA","SBrkr",960,2142,"Gd",8,"Typ",1,"Gd","Attchd","Fin",1,"TA","TA","Y","None","Normal",193500,1182,2.5
82,"RM",4500,"FR2","Gtl","Mitchel","Norm","Norm","TwnhsE","1Story","6","5",1998,1998,"Hip","CompShg","BrkFace",443,"Ex","Gd","No","GLQ",1201,"Unf",1237,"Ex","SBrkr",0,1337,"TA",5,"Typ",0,"None","Attchd","Fin",2,"TA","TA","Y","None","Normal",153500,1337,3
83,"RL",10206,"Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5",2007,2007,"Gable","CompShg","Stone",468,"Gd","TA","No","GLQ",33,"Unf",1563,"Ex","SBrkr",0,1563,"Gd",6,"Typ",1,"Gd","Attchd","RFn",3,"TA","TA","Y","None","Normal",245000,1563,2
